,ACC_x,ACC_y,ACC_z,GYR_x,GYR_y,GYR_z,Q_0,Q_1,Q_2,Q_3,Pitch,Yaw
3840,-0.266,-0.176,0.956,-1.281,0.427,-0.061,0,0,0,0,16.292,-12.365
3860,-0.256,-0.184,0.961,-2.258,0.366,0.122,0,0,0,0,16.287,-12.376
3880,-0.256,-0.184,0.961,-2.258,0.366,0.122,0,0,0,0,16.287,-12.376
3900,-0.256,-0.184,0.961,-2.258,0.366,0.122,0,0,0,0,16.287,-12.381
3920,-0.256,-0.184,0.961,-2.258,0.366,0.122,0,0,0,0,16.281,-12.387
3940,-0.273,-0.185,0.956,-1.098,-0.549,0.366,0,0,0,0,16.276,-12.398
3960,-0.273,-0.185,0.956,-1.098,-0.549,0.366,0,0,0,0,16.276,-12.398
3980,-0.26,-0.179,0.961,0.488,-0.488,0.122,0,0,0,0,16.182,-12.42
4000,-0.267,-0.178,0.961,1.037,0.549,0.427,0,0,0,0,16.166,-12.381
4020,-0.267,-0.178,0.961,1.037,0.549,0.427,0,0,0,0,16.171,-12.37
4040,-0.267,-0.178,0.961,1.037,0.549,0.427,0,0,0,0,16.171,-12.359
4060,-0.268,-0.187,0.959,1.525,1.525,0.549,0,0,0,0,16.204,-12.282
4080,-0.278,-0.183,0.962,-0.976,-0.549,0.244,0,0,0,0,16.226,-12.211
4100,-0.273,-0.178,0.96,2.929,1.525,0.305,0,0,0,0,16.243,-12.106
4120,-0.272,-0.178,0.961,1.892,0.915,0.183,0,0,0,0,16.254,-12.062
4140,-0.272,-0.178,0.961,1.892,0.915,0.183,0,0,0,0,16.259,-12.035
4160,-0.278,-0.18,0.96,0.549,0.427,0.488,0,0,0,0,16.265,-12.019
4180,-0.275,-0.179,0.961,0,0.122,0.915,0,0,0,0,16.27,-11.98
4200,-0.273,-0.178,0.961,-0.122,0.061,0.61,0,0,0,0,16.265,-11.969
4220,-0.273,-0.177,0.96,-0.183,0.427,-0.122,0,0,0,0,16.265,-11.936
4240,-0.279,-0.179,0.963,-0.122,0.061,-0.244,0,0,0,0,16.265,-11.925
4260,-0.279,-0.179,0.963,-0.122,0.061,-0.244,0,0,0,0,16.265,-11.925
4280,-0.279,-0.179,0.963,-0.122,0.061,-0.244,0,0,0,0,16.265,-11.925
4300,-0.265,-0.179,0.961,0.305,0.122,0,0,0,0,0,16.265,-11.887
4320,-0.274,-0.178,0.959,0.61,0.244,0.122,0,0,0,0,16.259,-11.832
4340,-0.276,-0.177,0.961,-0.427,-0.549,0.61,0,0,0,0,16.248,-11.788
